"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
4 - Julio Campos - Stock Car PRO 2024
"14:40:06.565","23","23","1:33.499","132,566","0,0","27.899","0,0","28.233","0,0","37.367","209,3","0.516"
"14:41:40.129","24","24","1:33.564","132,474","0,0","27.985","0,0","28.236","0,0","37.343","208,5","0.518"
"14:43:13.933","25","25","1:33.804","132,135","0,0","27.922","0,0","28.225","0,0","37.657","209,3","0.516"
"14:44:47.867","26","26","1:33.934","131,952","0,0","27.962","0,0","28.271","0,0","37.701","208,5","0.518"
"14:46:21.908","27","27","1:34.041","131,802","0,0","28.008","0,0","28.353","0,0","37.680","208,9","0.517"
"14:47:55.922","28","28","1:34.014","131,840","0,0","27.967","0,0","28.404","0,0","37.643","208,5","0.518"
"14:49:29.846","29","29","1:33.924","131,966","0,0","27.695","0,0","28.453","0,0","37.776","219,5","0.492"
"14:51:04.058","30","30","1:34.212","131,563","0,0","27.984","0,0","28.416","0,0","37.812","209,7","0.515"
"14:52:38.587","31","31","1:34.529","131,122","0,0","27.963","0,0","28.610","0,0","37.956","209,3","0.516"
"14:54:13.204","32","32","1:34.617","131,000","0,0","28.087","0,0","28.640","0,0","37.890","208,9","0.517"
"14:55:47.771","33","33","1:34.567","131,069","0,0","27.911","0,0","28.584","0,0","38.072","219,1","0.493"
121 - Felipe Baptista - Stock Car PRO 2024
"14:05:33.991","1","1","1:37.921","126,580","0,0","32.031","0,0","28.738","0,0","37.152","169,8","0.636"
"14:07:06.970","2","2","1:32.979","133,308","0,0","28.149","0,0","28.004","0,0","36.826","207,3","0.521"
"14:08:39.400","3","3","1:32.430","134,099","0,0","27.581","0,0","27.975","0,0","36.874","219,5","0.492"
"14:10:12.026","4","4","1:32.626","133,816","0,0","27.906","0,0","27.887","0,0","36.833","207,7","0.520"
"14:11:44.333","5","5","1:32.307","134,278","0,0","27.805","0,0","27.820","0,0","36.682","207,7","0.520"
"14:13:16.679","6","6","1:32.346","134,221","0,0","27.711","0,0","27.898","0,0","36.737","207,7","0.520"
"14:14:49.736","7","7","1:33.057","133,196","0,0","27.903","0,0","28.123","0,0","37.031","207,7","0.520"
"14:16:22.859","8","8","1:33.123","133,101","0,0","27.961","0,0","28.137","0,0","37.025","208,1","0.519"
"14:17:55.481","9","9","1:32.622","133,821","0,0","27.512","0,0","28.103","0,0","37.007","218,6","0.494"
"14:19:28.547","10","10","1:33.066","133,183","0,0","27.888","0,0","28.093","0,0","37.085","207,3","0.521"
"14:21:01.394","11","11","1:32.847","133,497","0,0","27.638","0,0","28.190","0,0","37.019","219,1","0.493"
"14:22:34.809","12","12","1:33.415","132,685","0,0","27.754","0,0","28.255","0,0","37.406","219,5","0.492"
"14:24:10.448","13","13","1:35.639","129,600","0,0","27.602","0,0","27.897","","","219,1","0.493"
"14:26:10.824","14","14","2:00.376","102,967","","","0,0","27.937","0,0","36.686","",""
"14:27:43.314","15","15","1:32.490","134,012","0,0","27.552","0,0","27.737","0,0","37.201","218,2","0.495"
"14:29:15.695","16","16","1:32.381","134,170","0,0","27.535","0,0","27.977","0,0","36.869","219,1","0.493"
