"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
101 - Gianluca Petecof - Stock Car PRO 2024
"14:17:46.329","1","1","1:00.949","134,552","0,0","20.165","0,0","16.687","0,0","24.097","141,9","0.761"
"14:19:10.935","2","2","1:24.606","96,929","0,0","23.160","0,0","28.125","0,0","33.321","215,1","0.502"
"14:20:35.532","3","3","1:24.597","96,940","0,0","26.408","0,0","25.501","0,0","32.688","145,6","0.742"
"14:22:01.751","4","4","1:26.219","95,116","0,0","26.420","0,0","23.569","0,0","36.230","124,7","0.866"
"14:23:36.702","5","5","1:34.951","86,369","0,0","25.757","0,0","35.726","0,0","33.468","113,4","0.952"
"14:24:34.391","6","6","57.689","142,155","0,0","17.027","0,0","16.580","0,0","24.082","213,9","0.505"
"14:25:31.132","7","7","56.741","144,530","0,0","16.833","0,0","16.508","0,0","23.400","216,0","0.500"
"14:26:27.802","8","8","56.670","144,711","0,0","16.558","0,0","16.500","0,0","23.612","230,8","0.468"
"14:28:01.198","9","9","1:33.396","87,807","0,0","16.530","0,0","16.597","","","230,3","0.469"
"14:29:16.421","10","10","1:15.223","109,020","","","0,0","17.355","0,0","23.667","",""
"14:30:12.772","11","11","56.351","145,531","0,0","16.544","0,0","16.516","0,0","23.291","231,3","0.467"
"14:31:09.208","12","12","56.436","145,312","0,0","16.504","0,0","16.528","0,0","23.404","231,8","0.466"
"14:32:05.828","13","13","56.620","144,839","0,0","16.581","0,0","16.574","0,0","23.465","232,3","0.465"
"14:33:02.109","14","14","56.281","145,712","0,0","16.526","0,0","16.426","0,0","23.329","232,3","0.465"
"14:33:58.531","15","15","56.422","145,348","0,0","16.592","0,0","16.458","0,0","23.372","232,3","0.465"
"14:34:54.666","16","16","56.135","146,091","0,0","16.353","0,0","16.399","0,0","23.383","232,3","0.465"
"14:35:50.898","17","17","56.232","145,839","0,0","16.436","0,0","16.422","0,0","23.374","232,8","0.464"
"14:36:47.793","18","18","56.895","144,139","0,0","16.522","0,0","16.503","0,0","23.870","232,3","0.465"
"14:37:44.970","19","19","57.177","143,428","0,0","16.811","0,0","16.461","0,0","23.905","217,7","0.496"
"14:38:41.611","20","20","56.641","144,786","0,0","16.778","0,0","16.496","0,0","23.367","217,7","0.496"
"14:39:38.385","21","21","56.774","144,446","0,0","16.536","0,0","16.486","0,0","23.752","232,3","0.465"
"14:40:35.704","22","22","57.319","143,073","0,0","16.772","0,0","16.610","0,0","23.937","217,7","0.496"
"14:41:32.407","23","23","56.703","144,627","0,0","16.809","0,0","16.526","0,0","23.368","218,2","0.495"
"14:42:29.145","24","24","56.738","144,538","0,0","16.405","0,0","16.522","0,0","23.811","232,3","0.465"
"14:43:26.429","25","25","57.284","143,160","0,0","16.849","0,0","16.573","0,0","23.862","215,6","0.501"
"14:44:23.288","26","26","56.859","144,230","0,0","16.777","0,0","16.620","0,0","23.462","218,2","0.495"
"14:45:20.286","27","27","56.998","143,879","0,0","16.534","0,0","16.569","0,0","23.895","233,3","0.463"
"14:46:17.652","28","28","57.366","142,956","0,0","16.846","0,0","16.619","0,0","23.901","218,2","0.495"
"14:47:14.991","29","29","57.339","143,023","0,0","16.764","0,0","16.593","0,0","23.982","218,2","0.495"
"14:48:13.052","30","30","58.061","141,245","0,0","16.840","0,0","16.701","0,0","24.520","218,2","0.495"
121 - Felipe Baptista - Stock Car PRO 2024
"14:17:49.077","1","1","1:01.848","132,596","0,0","20.439","0,0","16.995","0,0","24.414","155,4","0.695"
"14:19:15.113","2","2","1:26.036","95,318","0,0","24.885","0,0","29.980","0,0","31.171","167,4","0.645"
"14:20:39.458","3","3","1:24.345","97,229","0,0","26.654","0,0","26.776","0,0","30.915","139,5","0.774"
"14:22:06.576","4","4","1:27.118","94,134","0,0","27.652","0,0","22.796","0,0","36.670","134,0","0.806"
"14:23:38.783","5","5","1:32.207","88,939","0,0","25.532","0,0","34.718","0,0","31.957","100,9","1.070"
"14:24:36.654","6","6","57.871","141,708","0,0","16.998","0,0","16.637","0,0","24.236","218,2","0.495"
"14:25:33.709","7","7","57.055","143,735","0,0","16.881","0,0","16.596","0,0","23.578","218,6","0.494"
"14:26:30.410","8","8","56.701","144,632","0,0","16.677","0,0","16.525","0,0","23.499","230,8","0.468"
"14:27:27.535","9","9","57.125","143,559","0,0","16.755","0,0","16.527","0,0","23.843","232,8","0.464"
"14:28:23.977","10","10","56.442","145,296","0,0","16.631","0,0","16.478","0,0","23.333","218,6","0.494"
"14:29:20.032","11","11","56.055","146,299","0,0","16.387","0,0","16.423","0,0","23.245","231,3","0.467"
"14:30:53.037","12","12","1:33.005","88,176","0,0","16.394","0,0","16.626","","","232,3","0.465"
"14:32:08.116","13","13","1:15.079","109,229","","","0,0","17.396","0,0","23.743","",""
"14:33:04.335","14","14","56.219","145,872","0,0","16.439","0,0","16.505","0,0","23.275","231,8","0.466"
"14:34:00.696","15","15","56.361","145,505","0,0","16.422","0,0","16.530","0,0","23.409","232,8","0.464"
"14:34:57.801","16","16","57.105","143,609","0,0","16.711","0,0","16.521","0,0","23.873","231,8","0.466"
"14:35:54.544","17","17","56.743","144,525","0,0","16.751","0,0","16.521","0,0","23.471","218,2","0.495"
"14:36:51.493","18","18","56.949","144,003","0,0","16.511","0,0","16.683","0,0","23.755","232,8","0.464"
"14:37:48.156","19","19","56.663","144,729","0,0","16.740","0,0","16.485","0,0","23.438","218,2","0.495"
"14:38:44.890","20","20","56.734","144,548","0,0","16.443","0,0","16.486","0,0","23.805","232,8","0.464"
"14:39:41.798","21","21","56.908","144,106","0,0","16.977","0,0","16.506","0,0","23.425","218,2","0.495"
"14:40:38.393","22","22","56.595","144,903","0,0","16.639","0,0","16.577","0,0","23.379","231,8","0.466"
"14:41:35.380","23","23","56.987","143,907","0,0","16.517","0,0","16.595","0,0","23.875","232,3","0.465"
"14:42:32.095","24","24","56.715","144,597","0,0","16.754","0,0","16.545","0,0","23.416","218,2","0.495"
"14:43:29.033","25","25","56.938","144,030","0,0","16.546","0,0","16.589","0,0","23.803","231,8","0.466"
"14:44:27.048","26","26","58.015","141,357","0,0","16.757","0,0","16.575","0,0","24.683","217,7","0.496"
"14:45:24.190","27","27","57.142","143,516","0,0","17.009","0,0","16.632","0,0","23.501","216,4","0.499"
"14:46:21.465","28","28","57.275","143,183","0,0","16.543","0,0","16.734","0,0","23.998","231,8","0.466"
"14:47:18.432","29","29","56.967","143,957","0,0","16.849","0,0","16.620","0,0","23.498","217,7","0.496"
"14:48:15.549","30","30","57.117","143,579","0,0","16.582","0,0","16.609","0,0","23.926","231,8","0.466"
38 - Zezinho Muggiati - Stock Car PRO 2024
"14:17:47.088","1","1","1:00.988","134,466","0,0","20.171","0,0","16.699","0,0","24.118","146,7","0.736"
