"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
91 - Eduardo Barrichello - Stock Car PRO 2024
"15:56:37.728","14","14","1:28.417","156,146","0,0","32.830","0,0","37.310","0,0","18.277","245,5","0.440"
"15:58:06.053","15","15","1:28.325","156,309","0,0","32.745","0,0","37.214","0,0","18.366","245,5","0.440"
"15:59:34.548","16","16","1:28.495","156,009","0,0","32.924","0,0","37.237","0,0","18.334","244,3","0.442"
"16:01:02.970","17","17","1:28.422","156,138","0,0","32.940","0,0","37.107","0,0","18.375","246,0","0.439"
"16:02:31.445","18","18","1:28.475","156,044","0,0","33.029","0,0","37.100","0,0","18.346","244,3","0.442"
"16:04:00.108","19","19","1:28.663","155,713","0,0","33.004","0,0","37.228","0,0","18.431","244,9","0.441"
"16:05:28.701","20","20","1:28.593","155,836","0,0","32.949","0,0","37.228","0,0","18.416","244,9","0.441"
"16:06:57.391","21","21","1:28.690","155,666","0,0","33.021","0,0","37.322","0,0","18.347","244,9","0.441"
33 - Nelson Piquet Jr - Stock Car PRO 2024
"15:36:53.553","1","1","1:31.830","150,343","0,0","35.710","0,0","37.743","0,0","18.377","209,3","0.516"
"15:38:22.182","2","2","1:28.629","155,773","0,0","32.971","0,0","37.658","0,0","18.000","244,9","0.441"
"15:39:49.948","3","3","1:27.766","157,305","0,0","32.524","0,0","37.346","0,0","17.896","252,9","0.427"
"15:41:17.702","4","4","1:27.754","157,326","0,0","32.461","0,0","37.401","0,0","17.892","251,7","0.429"
"15:42:45.721","5","5","1:28.019","156,852","0,0","32.520","0,0","37.406","0,0","18.093","251,7","0.429"
"15:44:13.698","6","6","1:27.977","156,927","0,0","32.580","0,0","37.435","0,0","17.962","252,9","0.427"
"15:46:17.879","7","7","2:04.181","111,176","0,0","32.504","0,0","37.427","","","252,9","0.427"
"15:47:53.502","8","8","1:35.623","144,379","","","0,0","37.258","0,0","17.982","190,1","0.568"
"15:49:20.871","9","9","1:27.369","158,019","0,0","32.486","0,0","36.955","0,0","17.928","251,7","0.429"
"15:50:48.332","10","10","1:27.461","157,853","0,0","32.389","0,0","37.083","0,0","17.989","251,7","0.429"
"15:52:15.777","11","11","1:27.445","157,882","0,0","32.457","0,0","37.075","0,0","17.913","251,7","0.429"
"15:53:43.817","12","12","1:28.040","156,815","0,0","32.528","0,0","37.191","0,0","18.321","252,9","0.427"
