"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
29 - Daniel Serra - Stock Car PRO 2024
"14:28:30.551","2","1:34.005","146,865","0,0","35.753","0,0","39.253","0,0","18.999","183,4","0.589"
"14:30:01.691","3","1:31.140","151,481","0,0","33.905","0,0","38.715","0,0","18.520","242,7","0.445"
"14:31:30.209","4","1:28.518","155,968","0,0","32.976","0,0","37.234","0,0","18.308","245,5","0.440"
"14:32:58.407","5","1:28.198","156,534","0,0","32.807","0,0","37.102","0,0","18.289","246,6","0.438"
"14:37:37.212","6","4:38.805","49,518","0,0","32.680","0,0","37.218","","","247,1","0.437"
"14:39:17.006","7","1:39.794","138,345","","","0,0","38.522","0,0","18.672","184,6","0.585"
"14:40:44.975","8","1:27.969","156,942","0,0","32.683","0,0","37.025","0,0","18.261","246,6","0.438"
"14:42:12.763","9","1:27.788","157,265","0,0","32.584","0,0","37.019","0,0","18.185","248,3","0.435"
"14:46:22.722","10","4:09.959","55,233","0,0","32.503","0,0","36.963","","","248,8","0.434"
"14:48:03.679","11","1:40.957","136,751","","","0,0","38.446","0,0","19.712","179,1","0.603"
"14:49:30.897","12","1:27.218","158,293","0,0","32.370","0,0","36.730","0,0","18.118","246,0","0.439"
"14:50:57.678","13","1:26.781","159,090","0,0","32.260","0,0","36.473","0,0","18.048","247,1","0.437"
28 - Enzo Elias - Stock Car PRO 2024
"15:02:24.310","1","1:46.251","129,938","","","0,0","40.153","0,0","19.557","177,6","0.608"
"15:03:57.652","2","1:33.342","147,908","0,0","35.109","0,0","39.446","0,0","18.787","242,7","0.445"
"15:05:26.401","3","1:28.749","155,562","0,0","33.273","0,0","37.171","0,0","18.305","246,6","0.438"
"15:06:54.408","4","1:28.007","156,874","0,0","32.776","0,0","36.925","0,0","18.306","247,7","0.436"
"15:12:09.308","5","5:14.900","43,842","0,0","32.779","0,0","38.257","","","248,3","0.435"
"15:13:50.783","6","1:41.475","136,053","","","0,0","39.098","0,0","18.475","146,3","0.738"
"15:15:18.959","7","1:28.176","156,573","0,0","32.878","0,0","37.033","0,0","18.265","247,7","0.436"
"15:20:39.889","8","5:20.930","43,019","0,0","33.012","0,0","37.412","","","248,8","0.434"
"15:22:22.608","9","1:42.719","134,406","","","0,0","39.640","0,0","19.064","186,2","0.580"
"15:23:55.123","10","1:32.515","149,230","0,0","34.991","0,0","38.812","0,0","18.712","243,2","0.444"
"15:25:21.933","11","1:26.810","159,037","0,0","32.314","0,0","36.478","0,0","18.018","247,1","0.437"
90 - Ricardo Mauricio - Stock Car PRO 2024
"14:26:50.728","1","1:42.788","134,315","","","0,0","38.693","0,0","18.731","182,1","0.593"
"14:28:21.523","2","1:30.795","152,057","0,0","34.280","0,0","38.013","0,0","18.502","239,5","0.451"
"14:29:50.387","3","1:28.864","155,361","0,0","33.143","0,0","37.341","0,0","18.380","243,2","0.444"
"14:31:19.144","4","1:28.757","155,548","0,0","33.017","0,0","37.383","0,0","18.357","244,9","0.441"
"14:35:16.553","5","3:57.409","58,153","0,0","32.981","0,0","37.382","","","244,9","0.441"
"14:36:57.434","6","1:40.881","136,854","","","0,0","38.487","0,0","18.601","181,8","0.594"
"14:38:27.647","7","1:30.213","153,038","0,0","33.921","0,0","37.824","0,0","18.468","241,6","0.447"
"14:39:55.893","8","1:28.246","156,449","0,0","32.934","0,0","37.060","0,0","18.252","247,1","0.437"
"14:41:23.989","9","1:28.096","156,715","0,0","32.867","0,0","36.975","0,0","18.254","246,6","0.438"
"14:47:46.149","10","6:22.160","36,126","0,0","34.747","0,0","38.599","","","246,6","0.438"
"14:49:26.904","11","1:40.755","137,025","","","0,0","38.387","0,0","18.624","183,1","0.590"
"14:50:55.711","12","1:28.807","155,461","0,0","33.269","0,0","37.369","0,0","18.169","240,5","0.449"
"14:52:22.785","13","1:27.074","158,555","0,0","32.430","0,0","36.637","0,0","18.007","245,5","0.440"
"14:53:49.622","14","1:26.837","158,988","0,0","32.343","0,0","36.538","0,0","17.956","246,0","0.439"
85 - Guilherme Salas - Stock Car PRO 2024
"14:27:29.668","1","1:50.086","125,411","","","0,0","41.249","0,0","20.708","165,1","0.654"
"14:30:49.952","2","3:20.284","68,932","0,0","36.580","0,0","39.349","","","198,9","0.543"
"14:32:33.345","3","1:43.393","133,529","","","0,0","38.202","0,0","19.047","184,6","0.585"
"14:34:01.343","4","1:27.998","156,890","0,0","32.746","0,0","37.066","0,0","18.186","246,6","0.438"
"14:35:31.432","5","1:30.089","153,248","0,0","32.572","0,0","38.738","0,0","18.779","247,7","0.436"
"14:40:58.090","6","5:26.658","42,264","0,0","32.474","0,0","39.595","","","248,8","0.434"
"14:42:35.903","7","1:37.813","141,147","","","0,0","37.558","0,0","18.393","186,9","0.578"
"14:44:04.244","8","1:28.341","156,281","0,0","32.686","0,0","37.250","0,0","18.405","248,3","0.435"
